RUN,NOMBRES,APELLIDOS,CORREO,SEXO,FECHA DE NACIMIENTO,FACULTAD,CARRERA,PREFERENCIA,AÑO EGRESO,NES,PUNTAJE LENGUAJE,PUNTAJE MATEMÁTICA
19580269,RODNEY HUGO,LAGO AGUILÓ,rodney.lago.a@usachi.cy,MASCULINO,8-12-1996,FACULTAD DE DERECHO,DERECHO,2,2019,6.82,748,602
19237841,REBECCA STEPHANY,CABANILLAS SANDOVAL,rebecca.cabanillas.s@usachi.cy,FEMENINO,28-11-1998,FACULTAD DE DERECHO,DERECHO,3,2018,6.25,702,622
20682687,JOSE IGNACIO MAXIMILIANO,CRUZ LANCISI,jose ignacio.cruz.l@usachi.cy,MASCULINO,1-8-1995,FACULTAD DE DERECHO,DERECHO,2,2018,5.97,556,662
20738044,CORY ROBERT,FLORIO PINTO,cory.florio.p@usachi.cy,MASCULINO,18-12-1992,FACULTAD DE DERECHO,DERECHO,2,2018,4.96,656,638
19298538,ANGEL EMILIA,PÉREZ QUINTANA,angel.pérez.q@usachi.cy,FEMENINO,24-7-1992,FACULTAD DE DERECHO,DERECHO,1,2019,6.59,746,678
18608881,NEDDA GABRIELLY,REED TURNER,nedda.reed.t@usachi.cy,FEMENINO,29-7-1999,FACULTAD DE DERECHO,DERECHO,1,2018,5.39,789,688
18098832,ARIA ANA LAURA,DA CRUZ MENDES,aria.da cruz.m@usachi.cy,FEMENINO,6-1-1998,FACULTAD DE DERECHO,DERECHO,3,2019,6.73,637,669
19490782,ALMA PAUL,CASTRO FERNANDEZ,alma.castro.f@usachi.cy,MASCULINO,9-2-1992,FACULTAD DE DERECHO,DERECHO,3,2019,6.8,795,558
18914617,MARIANA NINETTA,YOUNG GAMBLE,mariana.young.g@usachi.cy,FEMENINO,9-2-1994,FACULTAD DE DERECHO,DERECHO,2,2018,5.22,725,665
19999643,BRIAN MICHAEL,GUALTIERI BASS,brian.gualtieri.b@usachi.cy,MASCULINO,7-2-1991,FACULTAD DE DERECHO,DERECHO,1,2019,4.17,842,698
20813999,ALICIA CATALINA,MACÍAS WILLIAMS,alicia.macías.w@usachi.cy,FEMENINO,26-8-1998,FACULTAD DE DERECHO,DERECHO,2,2018,4.41,706,577
19812323,GABRIELA NOAH,GREENE TAFOYA,gabriela.greene.t@usachi.cy,MASCULINO,25-12-1997,FACULTAD DE DERECHO,DERECHO,1,2019,4.79,614,836
20288800,DILLON COSTANZO,MONTALBÁN JACKSON,dillon.montalbán.j@usachi.cy,MASCULINO,18-9-1998,FACULTAD DE DERECHO,DERECHO,1,2019,4.52,806,672
18519242,SILVESTRO MARÍA ELENA,LIMA WILSON,silvestro.lima.w@usachi.cy,MASCULINO,5-5-1994,FACULTAD DE CIENCIAS MÉDICAS,ENFERMERÍA,3,2018,6.32,655,645
18478735,MELISSA ANA CLARA,JOHNSON HURLEY,melissa.johnson.h@usachi.cy,FEMENINO,18-1-1998,FACULTAD DE CIENCIAS MÉDICAS,ENFERMERÍA,2,2019,5,645,714
20229716,CAMERON TYLER,GOMES MURATORI,cameron.gomes.m@usachi.cy,MASCULINO,12-3-1997,FACULTAD DE CIENCIAS MÉDICAS,ENFERMERÍA,3,2019,5.67,656,833
19791561,STEPHANIE MEGAN,DA MATA ASHLEY,stephanie.da mata.a@usachi.cy,FEMENINO,12-5-1994,FACULTAD DE CIENCIAS MÉDICAS,ENFERMERÍA,3,2018,6.31,729,793
